source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist,dist_error,pm_scalar,pm_scalar_error,rad_v,rad_v_pc_yr,rad_v_error,finra,findec,findist,tang_v,true_v
6.65011819665248e+16,57.38808968139058,0.04457426203511257,23.795201753088413,0.018727213762313268,20.03721550730952,0.08910530753679748,-43.700613764890264,0.048507806328715576,7.191551866542106,0.04719799987649876,10.747876,11.127181,10.232082,139.05204586681612,21187.33850198446,0.048075291457405446,0.09533858077274344,5.630345296011189,5.754409954608795e-06,1.9831206420856478,62.95398287786545,11.65614237395223,144.80645582142492,31.686746579451597,32.18308091129099
6.416324228772045e+16,57.421770531918575,0.2743270546672444,22.944506516188177,0.1336526571841527,19.256085975528567,0.6291836347229441,-45.00932695420316,0.3612616233550558,7.192063134217341,0.28001960617503024,18.5149,20.530851000000002,17.108345,139.0421609680186,3571.178510175233,0.04895545281138054,0.6872762162957153,5.73301795457692,5.859345005206023e-06,14.0388622697704,62.77068330289873,10.441915695576187,144.90150597322463,32.26457304329489,32.769958323647785
6.766793559957043e+16,53.45758278804979,0.13017372218582665,22.938670553713013,0.08410947385362197,20.097673690161734,0.3139002661261364,-44.451702784109706,0.19700781079507707,7.193036747161187,0.13444939411660378,17.237923000000002,18.929873,15.953391,139.02334092685697,7437.742702899287,0.048783915055713244,0.332801629229113,5.712156438390777,5.838023805510718e-06,6.82197970466104,59.04026992420583,10.590975335904762,144.8613647323677,32.147167530506586,32.650713796349166
6.489901742687296e+16,56.69617935087971,0.04721010993121705,22.91438594245279,0.02619257190029795,19.021026386995427,0.09636399850363844,-44.98474233986267,0.059501995740657426,7.19306083689944,0.04992055762437193,10.343406,10.694693,9.854905,139.02287533425738,20031.82751932614,0.048840828086741214,0.10720556201237384,5.718801288516819,5.844815074909288e-06,2.1950098323304696,61.979797791711775,10.418624181379824,144.86769040916667,32.18456375950012,32.688695791769824
6.47347091590496e+16,54.93054708105685,0.16556059526661773,23.20691887471195,0.09985614847960383,20.884315979786244,0.42367589393404,-43.000185804692094,0.25092162516113864,7.1930961427780415,0.17225909221216293,17.373386,19.184464000000002,16.071306,139.02219296818555,5805.208811668123,0.04780345838097489,0.4415867210435886,5.597307586091481,5.720644258751007e-06,9.237578616672238,60.731745964330806,11.262422817853032,144.74283722693656,31.500815257880095,31.994237201790085
6.860032146032077e+16,55.04607101036965,0.12998351463380384,25.39059573861837,0.07141054193208557,19.703905614555023,0.2899493348926142,-45.89477172563241,0.1663611982923449,7.1935100013663895,0.14248685641999234,16.958729,18.74553,15.670010999999999,139.01419471301944,7018.1911870693075,0.04994571020833722,0.3034335375708671,5.847807424738248,5.9766638613423554e-06,6.075299541532163,60.51937812552382,12.642048037053812,144.9908585743618,32.91059112207389,33.42609548961937
6.67577461314592e+16,57.53599234139165,0.13874789532579682,24.671463417296486,0.06616549754053816,19.27128112990344,0.2850155644704192,-46.75440432441245,0.19522128279414025,7.193557608163892,0.14387731642737975,17.51333,19.259922,16.188786999999998,139.0132747203012,6950.365942533667,0.050570313427132425,0.3038891442157508,5.920898831807175,6.0513658375660465e-06,6.0092731653405815,62.88912598858705,11.684128882737474,145.06464055786725,33.32193869867268,33.84388632551817
6.594599731287795e+16,60.30040941330314,0.108581976232635,23.903469685463023,0.05297500078855219,18.160288081758406,0.2123949407682489,-45.01541601151398,0.13539052539538654,7.193794455838987,0.11283112351898078,15.859317,17.609522,14.582567999999998,139.0086978629658,8862.802822589789,0.04854053709944015,0.24878393349923136,5.683060425906716,5.808286662391571e-06,5.125305843105402,65.34493388045826,11.399187460042471,144.81698452535736,31.983419496312628,32.484400848432124
6.495206886292352e+16,56.58921477748638,0.2807968706004461,23.08570586673964,0.14594785589798812,18.17514556430484,0.6660181969551988,-45.693885692871724,0.3170818970316712,7.194560982207882,0.32022577947852754,17.939165,20.0379,16.60681,138.99388753156666,3122.796676858598,0.04917587931086639,0.758414443333584,5.75683202011919,5.883683813682517e-06,15.422552934247074,61.637866323126616,10.392959840941938,144.87757134524918,32.39859506507017,32.90607963732931
6.826105340370931e+16,55.574650665302,0.1098975809391796,24.115885490139192,0.08184595131705039,21.35890274519011,0.24985717702921725,-45.14004958047799,0.18965981066645074,7.194929466013241,0.12120033180974946,17.054266000000002,18.884853,15.741563000000001,138.98676904668906,8250.80249425158,0.04993822987057612,0.2489014060250885,5.8457780798247825,5.974589799813722e-06,4.98421406246288,61.507679205632584,11.576982828895305,144.96135884650278,32.89917027048938,33.41449574429056
6.831056148971034e+16,55.72974253767833,0.045241033331951855,24.49287507302488,0.02606213874358649,21.23009940602011,0.08834246723956964,-45.104196409404075,0.06404170079188945,7.194996006933928,0.051159343363142165,9.363033,9.634545,8.969191,138.98548366618755,19546.771601459834,0.049850834040441036,0.08819833682679615,5.835493539949799,5.964078640102593e-06,1.7692592468996327,61.626992372683915,11.963931625968193,144.94956230629015,32.8412904084966,33.355709264682204
7.009758141982694e+16,55.682594213236115,0.06015736281660359,25.534931078417486,0.03813204246043316,20.100741431695454,0.11806537213582065,-45.37789363042142,0.08879089636903605,7.195073660984558,0.0668381332626011,15.553866000000001,17.000723,14.366809,138.9839836418245,14961.518989034128,0.0496305655462208,0.12474222580164741,5.809646406992201,5.937661965570274e-06,2.513432527176313,61.26613349981818,12.929960625522648,144.92164560739477,32.69582658544954,33.20796692783324
6.981294534680934e+16,56.28658248993226,0.14804477806326066,24.84195494856626,0.08675914757427491,20.500661170335466,0.38308522186269706,-45.40937979699697,0.21653166550091807,7.195321794208932,0.10022276239224064,15.993503,17.071213,14.74824,138.97919072984865,9977.773273563464,0.049822574019904045,0.3870794334332492,5.831921379846382,5.960427767451298e-06,7.769170163107,61.98121059280322,12.228238338289325,144.93961849729996,32.82118682230653,33.33529078027455
6.520770961194138e+16,56.85181836448125,0.05180853505839492,23.914483989681937,0.034936347108610884,20.53469027865126,0.11117623016061023,-44.326782882217856,0.07592636868507273,7.1958100345578275,0.05869413098488089,7.2731580000000005,7.3073783,7.257503999999999,138.96976090217876,17037.478589768907,0.04885219734594767,0.11623969325789917,5.717947114581976,5.84394207925179e-06,2.379429842670158,62.55589899743993,11.601488744621422,144.81370298143057,32.17975659553678,32.683813329431885
