source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist,dist_error,rad_v,finra,findec,findist,pm_scalar,tang_v,true_v,pm_scalar_error
6.647122027493427e+16,57.98702363670818,0.05660407596171036,23.90175911616948,0.01946576079405249,20.720128515847108,0.09578690471174817,-45.978999049336565,0.05239166200656567,5.77602148573126,0.3812111006205418,7.487040599101898,0.06015529602695883,9.921573,10.235794,9.475083,133.5641214660909,16623.64024527194,5.903296119169348e-06,63.74261489111016,11.12981493579821,139.46741758526025,0.05043205408559236,31.928227608967767,32.446481202954516,0.09440923188833798
6.649915474197722e+16,57.369854572406844,0.04424841332315582,23.711986199086525,0.01999862852735941,20.027983191226927,0.09437212316424416,-47.28029363966236,0.05375650932459986,5.19026604987865,0.6533702669418543,7.491162784606629,0.0452843344667476,11.159633,11.617389999999999,10.603442,133.49062472048675,22082.691769143752,5.3046335622877265e-06,62.933183236636545,10.578571299180313,138.79525828277448,0.05134731032255502,32.48978268487745,32.90174525126419,0.09440114172541937
6.477024142410803e+16,56.17434663376087,0.0458777447429406,22.4643522920447,0.027568086958195643,21.87314945211071,0.10437009184843174,-45.321890910652435,0.06108818467935999,5.600512689338042,0.7379928943124227,7.4986539396732415,0.051494363033265225,10.582303999999999,10.971271,10.052906,133.35726759029177,19419.60131352635,5.723919986447606e-06,62.2502214815694,9.874938150196803,139.08118757673938,0.05032403464222091,31.810499073987337,32.299746031812475,0.0985280070931485
6.522275917918925e+16,56.39757956546968,0.17152698557137666,24.083017374039017,0.040216527712666164,18.63058458857527,0.10856632319397684,-44.978247225772314,0.06596029063446338,3.7857756188597267,3.123159541960593,7.503006634693023,0.196248806470708,9.981662,10.333224000000001,9.498418,133.27990346911295,5095.57239090399,3.869195184621301e-06,61.57274195118503,11.589059811324486,137.14909865373426,0.04868409807744982,30.75602036923343,30.988141054104137,0.12342864117462976
1.1807879138628992e+17,52.04627261490407,0.03631760404939608,27.30702902166883,0.02541490683375909,22.362213861548337,0.07973020041566233,-46.85665500746765,0.06135179983170656,3.0975679910610143,0.5264711525605347,7.504324187304276,0.04098269503107056,10.597353,10.978616,10.077551,133.25650318942616,24400.542698372115,3.1658229017440437e-06,58.25799868755639,14.291291519594482,136.4223260911702,0.05191930977274705,32.7940960678599,32.94006169343448,0.07315618553249562
6.512047023746048e+16,55.34579823814665,0.04313613396812896,23.486741126862267,0.027759331453671696,21.736262938700662,0.08615448010394951,-45.370918322136156,0.06740840027523423,5.90002005014309,1.3055240258520826,7.515350003301166,0.048551960510834116,9.06211,9.308297999999999,8.702161,133.06100175783476,20596.490635570837,6.030026991947993e-06,61.38364905445239,10.883708259602223,139.09102874978277,0.050308899371127994,31.730283075891307,32.274155305263754,0.08413883004040988
6.994581445487168e+16,56.17998816944304,0.0791512127381236,25.8753288073806,0.037729134119392035,19.47013604144268,0.15443926348846346,-45.77547965802135,0.08665343756586892,1.6631729726796929,0.5588174413289051,7.516415477271048,0.07641089551556847,11.439413,11.922674,10.807705,133.04213997003072,13087.13885961791,1.69982098913269e-06,61.58835929206601,13.159917791263561,134.7419609591634,0.04974415277592143,31.369644862084428,31.413703428764208,0.1639361949284711
6.680059272515085e+16,56.54907599667182,0.051346425510267565,24.622125279688102,0.03110419970067585,21.080303408840336,0.12414506548163612,-44.60968094281858,0.07525398304466173,7.6490642532237265,0.7857509241105904,7.528025263415855,0.05622335302451885,11.404611000000001,11.868744,10.805536,132.8369612227162,17786.203529410683,7.817611384043511e-06,62.4047158324608,12.230547240016277,140.65457260675973,0.04933966787108357,31.066583536253592,31.994386954041918,0.12415971021229859
6.524770434926758e+16,56.054519688708545,0.04563523826350141,24.03062221489341,0.0268101138738921,21.397833703252203,0.09082754092375836,-45.911459677254676,0.06282568647927332,4.9261368536303785,0.7495938249302605,7.5283118504255935,0.04979666343758141,11.164752,11.610732,10.58789,132.83190439878862,20081.66674165769,5.034684279200124e-06,61.99836238405638,11.277438971211554,137.86658867798874,0.0506530296911075,31.892324003857038,32.270530746606745,0.08804666173010273
6.516197680215168e+16,56.245743401953156,0.029243150117226425,23.388735475348106,0.015744291172526098,19.932638056532774,0.06359032638741785,-47.01325634055961,0.03727339288647324,2.967432105711445,4.061577857596551,7.538889452366325,0.03226253895096783,13.387123999999998,14.220557000000001,12.492962,132.64553172166725,30995.700664469907,3.032819472160797e-06,61.782587306545594,10.329497602970438,135.67835119382806,0.051064237305925825,32.106119390584105,32.24296133459902,0.06437578333727871
6.983830283369216e+16,56.15605129873356,0.04381256673910181,25.13759096332485,0.025241081586211682,22.09928553608684,0.08870189275179023,-46.678345463958465,0.05955668365820226,6.814513372972477,1.3691205758347371,7.565130093731612,0.04917861796107667,12.802538,13.514833,11.998975,132.18543337788594,20334.04030978399,6.964671175145926e-06,62.294741725424345,12.171383890003055,139.15010455303187,0.05164539046670234,32.35888184064503,33.068638110561004,0.08155036270461685
7.012500049102413e+16,55.95431391466964,0.05259988895977896,25.729417749558287,0.028489186561704214,21.3447631484995,0.10113194862271772,-47.6859168418273,0.06742343820621498,4.827075476006321,2.499079323457715,7.567568944275074,0.05992264244563459,11.738894,12.257423,11.093175,132.14283310316029,16688.182616567017,4.9334400841201205e-06,61.88341478925283,12.483329737939592,137.0762731872804,0.05224505315253503,32.724056267813566,33.078157691595976,0.09464034667884241
6.680265430945971e+16,56.41749370033558,0.0569207102187222,24.627038608465142,0.029082674935421826,18.187366084408236,0.13646100932364005,-43.8170038310597,0.06867037961927137,6.678700909004355,2.0077398668492394,7.568906833789589,0.06131131587896434,9.586492999999999,9.892756,9.146436,132.11947536938058,16310.20286653309,6.825866083534267e-06,61.46953983489342,12.455648655393002,138.94534145291485,0.04744164952675427,29.710158110669454,30.451576983678752,0.16156678182257533
6.985723504958874e+16,56.811774069651726,0.0543105918466426,25.371632413953808,0.028663805352061582,19.693187526118862,0.10432675739429774,-45.98183850939972,0.06764497518681349,5.386970855785618,0.7657349880840437,7.572139959092714,0.057485781718320514,11.430553,11.913791,10.815692,132.06306346717594,17395.605836935214,5.505672758592855e-06,62.282103938018075,12.598899494676107,137.5687362257688,0.050021506451159575,31.312408626808548,31.77241553633148,0.1099142419466551
