source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist,dist_error,pm_scalar,pm_scalar_error,rad_v,rad_v_error,finra,findec,findist,tang_v,true_v,radial_velocity
1.47E+17,70.04624765,0.138919353,23.4204453,0.085074323,89.50621705,0.380909231,-45.84046466,0.203307235,19.97685404,0.162925959,17.116188,19.452784,15.648689,50.05793195,6137.757328,0.100561976,0.061122679,38.41194196,0.60786575,94.90908572,10.68698289,89.31628106,23.86080246,45.21963268,38.41194196
3.31E+18,67.6415807,0.394341807,14.74798067,0.184457458,98.93477371,1.051242223,-20.07041334,0.550215927,19.99937919,0.454693749,13.490524,14.984291,12.275436,50.00155206,2199.282489,0.100950042,0.291247702,38.51674236,2.885157255,95.12346229,9.17286585,89.36701084,23.92590257,45.3430067,38.51674236
3.31E+18,70.5522558,0.06061922,14.14750395,0.032156943,87.57055872,0.140849471,-21.28556251,0.067865779,20.04662324,0.079772257,15.03678,16.81756,13.756556,49.883713,12535.68637,0.090120352,0.039625579,34.3037196,0.439714237,94.877411,8.234847697,84.94331506,21.30884916,40.38331624,34.3037196
3.41E+18,72.36833438,0.078213561,19.2772223,0.049095025,82.45171544,0.184093666,-37.00506646,0.093124695,20.08163111,0.091267515,15.093545,16.903347,13.804331,49.79675179,10956.80096,0.090375109,0.037225308,34.34072101,0.411922873,95.27158867,8.998037172,84.89417059,21.33183376,40.42687536,34.34072101
3.41E+18,74.65935981,0.085413471,16.22226906,0.062074249,78.491964,0.200387758,-29.07216146,0.132041868,20.10404824,0.120358568,15.321011,17.349909,13.982654,49.74122564,8308.506954,0.083702921,0.062246367,31.76995916,0.743682343,96.46268315,8.146668654,82.21123585,19.73492307,37.40050125,31.76995916
1.47E+17,72.30450996,0.045833604,24.80261228,0.027831718,84.68191254,0.104146215,-53.1320931,0.05008983,20.13547627,0.054642324,9.226789,9.820434,8.514605,49.66358812,18300.83225,0.099970224,0.015500736,37.88508952,0.155077275,95.82726344,10.04369753,88.38347559,23.53353127,44.59940697,37.88508952
3.31E+18,69.81912604,0.872076856,15.91788827,0.252832539,79.34299147,0.539929138,-19.53398182,0.351521886,20.17077808,0.998885389,4.57442,4.7244544,4.494217,49.57666957,1001.115855,0.081712219,0.235449365,30.91177287,2.88187174,91.8588459,10.4917822,81.16958335,19.2018333,36.39021989,30.91177287
3.31E+18,71.81616288,0.064204502,13.55665726,0.038463904,88.55451264,0.149898282,-17.83980155,0.080224222,20.19046965,0.08286098,16.146055,17.972078,14.579246,49.52831794,12068.40667,0.090333605,0.05319127,34.13991869,0.588845776,96.41463862,8.601156835,84.42050973,21.207099,40.19048514,34.13991869
3.31E+18,67.79636319,0.06252369,16.39576593,0.027281759,98.72487966,0.112670985,-24.68677234,0.075396104,20.22976698,0.070829308,13.815214,15.35508,12.604157,49.4321067,14118.44929,0.101764623,0.032038421,38.38535045,0.314848144,95.21994088,9.538329174,88.66327835,23.8442843,45.1883284,38.38535045
3.29E+18,70.2576501,0.040863476,10.99439837,0.025125221,91.35439265,0.093680605,-10.64260447,0.049689152,20.24709753,0.050982358,13.864185,13.669195,14.108288,49.38979518,19614.62832,0.091972225,0.051974159,34.6619887,0.565112732,95.63387028,8.038119348,84.8155608,21.53139943,40.80508084,34.6619887
1.51E+17,67.40146335,0.076300313,26.5729533,0.046594272,98.03389649,0.160508587,-55.09779614,0.105297864,20.2716696,0.085258526,14.61867,16.350843,13.357017,49.32992791,11729.03221,0.112456267,0.022378007,42.33052983,0.199037419,94.63310127,11.26800992,92.59321096,26.29495825,49.83270598,42.33052983
3.41E+18,71.02830247,0.076990698,19.03534869,0.047869,88.80621586,0.203153796,-34.38241999,0.098317726,20.27694135,0.096386081,15.574697,17.468094,14.257571,49.31710274,10374.94195,0.095229695,0.038454169,35.83682351,0.403832375,95.69669576,9.484676467,85.94359066,22.26118554,42.18812986,35.83682351
3.31E+18,65.39668022,0.071722649,14.69515656,0.042991146,106.5980333,0.151460273,-19.8385242,0.112490234,20.28981925,0.07632175,14.314161,15.956227,13.073628,49.2858013,13102.42495,0.108428353,0.053912101,40.77784244,0.497228286,95.00724504,9.184455395,90.96218349,25.33045698,48.00483814,40.77784244
3.41E+18,72.84397224,0.289918853,18.83970419,0.218110187,92.08652378,0.63831948,-46.58755333,0.383126478,20.2946968,0.424414971,5.0116353,5.1586065,4.857113,49.27395614,2356.184554,0.103200426,0.104219074,38.8023907,1.010087084,98.42356217,5.898717155,88.93135752,24.10334214,45.67928005,38.8023907
3.31E+18,65.84972981,0.139980072,14.42785258,0.084952179,104.2562528,0.322148097,-22.86489571,0.211994726,20.29654946,0.150879754,13.5766535,15.257231,12.32064,49.26945843,6627.794464,0.106734107,0.091563681,40.12735848,0.857899325,94.80980003,8.076492658,90.28102326,24.92638813,47.23906988,40.12735848
3.31E+18,70.15458635,0.083084178,16.63563829,0.039803641,89.11514898,0.239263094,-26.22962975,0.081517268,20.30019152,0.117134417,16.14774,18.257908,14.770618,49.26061899,8537.200476,0.09289512,0.044210788,34.91823822,0.475956517,94.9087944,9.349630027,84.94828059,21.69057699,41.10674507,34.91823822
3.31E+18,68.9525621,0.049075346,13.28796867,0.026311578,94.68930918,0.104184302,-18.51943628,0.059131182,20.30914827,0.058395842,13.635512,15.163108,12.429826,49.23889406,17124.50681,0.096483339,0.03500278,36.25101549,0.362797144,95.25514799,8.143680818,86.28870068,22.51847409,42.67572846,36.25101549
4.80E+16,67.15465729,0.37013529,19.18027818,0.24814642,107.503038,1.036090869,-38.06607556,0.700350912,20.31296105,0.426068994,3.158721,3.923631,2.6921098,49.22965182,2347.03772,0.114043541,0.182121571,42.84074541,1.597085443,97.01661229,8.606368301,93.01439306,26.61189493,50.4333463,42.84074541
3.31E+18,70.36633435,0.432256463,14.07602045,0.374738914,95.71529574,0.923904659,-23.96712848,0.646068521,20.32097274,0.511915941,12.337408,13.66053,11.198649,49.21024268,1953.445713,0.098670366,0.29018392,37.05115965,2.941050877,96.9539165,7.41848476,87.07782463,23.01550914,43.61768096,37.05115965
3.31E+18,71.81604413,0.06956252,13.55726867,0.042309816,85.94037271,0.1591662,-17.46453124,0.086908009,20.3396704,0.087190229,16.178123,17.86938,14.701907,49.16500516,11469.17504,0.087696964,0.060546351,32.90032655,0.690417493,95.68836988,8.706009991,82.79029041,20.43708682,38.73120196,32.90032655
3.41E+18,71.51171931,0.124657647,19.46817412,0.064594994,85.41415215,0.214497756,-35.47532223,0.116879194,20.38076611,0.151325571,16.833006,19.13456,15.414164,49.06586899,6608.268472,0.092488247,0.044790719,34.62785612,0.484342441,95.23787268,9.613917942,84.45674991,21.51019689,40.76489899,34.62785612
3.41E+18,71.61353176,0.119291869,17.62647594,0.072993032,95.82750533,0.221203395,-35.28705823,0.128456973,20.40537377,0.135531607,14.598567,16.36643,13.320007,49.0066985,7378.352685,0.102118007,0.042211151,38.18715767,0.413409956,98.23228324,7.824515325,88.0353102,23.72117053,44.95501021,38.18715767
3.31E+18,65.85491461,0.093984675,16.77715111,0.048481761,107.0509299,0.202423212,-26.76956242,0.152112468,20.43408502,0.109253983,5.563784,5.72641,5.340336,48.93784081,9152.984422,0.11034723,0.054270987,41.20650666,0.491849178,95.59128403,9.341161547,91.05233284,25.59673542,48.50947387,41.20650666
3.41E+18,70.62666284,0.066834013,20.45301199,0.036308995,89.31856437,0.161361725,-37.71941549,0.059777291,20.4373891,0.063906855,12.15475,13.5468855,10.999274,48.92992911,15647.7736,0.096956486,0.024786246,36.20020379,0.255662119,95.43737516,9.975396579,85.92780439,22.48691078,42.61591147,36.20020379
1.47E+17,70.85358334,0.07613396,24.29644822,0.043560932,91.40258837,0.18061083,-52.22235016,0.071902129,20.44716322,0.074122222,12.920681,14.299714,11.76559,48.90653972,13491.23076,0.105269212,0.022878209,39.28510055,0.217360719,96.24319122,9.790239846,89.05728746,24.40319276,46.24753985,39.28510055
3.41E+18,71.54063012,0.162076834,18.95760791,0.091378991,85.84666167,0.288555386,-37.52047749,0.165303524,20.47222042,0.207963577,17.69576,20.226656,16.189205,48.84668002,4808.53434,0.093687969,0.059148591,34.9203378,0.631417752,95.38692503,8.535253048,84.53648746,21.69188121,41.10921676,34.9203378
3.31E+18,67.80305491,0.079055371,12.47726792,0.033803759,96.21623917,0.13772484,-12.66786876,0.106160538,20.48193788,0.09173512,15.410414,17.277372,14.104914,48.82350518,10900.95046,0.097046585,0.087603989,36.15503376,0.902711498,94.52978801,8.958415483,85.77521511,22.45885198,42.56273603,36.15503376
3.41E+18,72.14621507,0.064502527,18.72890758,0.040543946,86.80853841,0.124242239,-34.60505862,0.071942224,20.50394235,0.080800582,14.7424,16.538754,13.456934,48.77110863,12376.14845,0.093451765,0.027008281,34.77840794,0.289034583,96.25969797,9.116391298,84.3158588,21.60371696,40.94213289,34.77840794
3.31E+18,67.09387627,0.076776714,13.82267891,0.029611348,104.740577,0.19379498,-19.70494308,0.095163754,20.50663201,0.098684668,14.918414,16.780272,13.60749,48.7647118,10133.28636,0.106578015,0.048525333,39.65818633,0.455328834,96.18848099,8.349083614,89.29676626,24.63494689,46.68674706,39.65818633
1.47E+17,69.24265023,0.14910607,23.2771642,0.089276669,91.40431827,0.288253086,-44.78702566,0.18831604,20.53238467,0.179301075,17.235847,19.546906,15.786339,48.70354886,5577.211388,0.101787166,0.051636406,37.82798333,0.507372966,94.63273864,10.83632374,87.3650718,23.49805794,44.53217993,37.82798333
3.31E+18,68.18962262,0.052697034,12.06660851,0.023898539,96.9525153,0.105020493,-14.18606024,0.06976274,20.54999515,0.056648822,13.763806,15.309274,12.555925,48.66181197,17652.61789,0.097984869,0.051391435,36.38369919,0.524490623,95.12087687,8.126036223,85.84722597,22.6008948,42.83192748,36.38369919
3.31E+18,65.2340975,0.097951445,14.85949901,0.052618689,109.7825533,0.198803002,-21.21055367,0.141706002,20.56879221,0.110502202,15.158329,17.00952,13.859692,48.61734173,9049.593378,0.111812775,0.061906986,41.48032918,0.553692548,95.72925118,8.967678548,91.01168997,25.76682902,48.83182555,41.48032918
3.31E+18,67.2094749,0.143135524,13.04753787,0.086733171,103.8658375,0.321195527,-15.42335685,0.244714018,20.58874804,0.161404189,4.951238,5.09097,4.815411,48.57021894,6195.626069,0.105004724,0.153945512,38.91691992,1.466102732,96.06109643,8.763272081,88.34467319,24.17448562,45.81410712,38.91691992
