source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist,rad_v,finra,findec,findist,pm_scalar,tang_v,true_v,pm_scalar_error
3.835468072594624e+16,58.756584140863545,0.03570228432917655,12.485542172745536,0.020646075702862268,131.22755546009682,0.08086532634083833,-10.229084028982733,0.059180749157671714,36.315980909971415,0.2038664896381798,21.721822994255877,0.04078364057133296,9.766113,10.363303,9.067604,46.03665172414121,3.7116203549322635e-05,95.20868287977933,9.644129942472555,83.15285527346384,0.13162562619833865,28.72251874739569,46.301550218625565,0.04420311046743352
3.3137782075943956e+18,66.81981669424533,0.04246623806588561,17.24171572182765,0.020944699227180823,107.68473717762664,0.08259902010997368,-31.491815174650075,0.057775599585136124,40.36951307572439,0.4047576321768133,21.7437210801376,0.04631050974726293,12.143844,13.300845,11.090819,45.990288245257034,4.125905529634798e-05,96.73224368803051,8.49398928442485,87.24934354160501,0.11219508475868649,24.45785152394939,47.2004670224632,0.01772374081673778
3.2203567933918587e+18,80.79377587680744,0.023647551298073017,-1.6976270423569586,0.022233226949312845,60.39886036585521,0.055231915552588315,32.63169051180646,0.048649888108415085,43.8135514849069,0.3802283059441837,21.75528806420523,0.03108980197957488,11.714352,12.748367,10.726096,45.965835848679774,4.477898309187683e-05,97.57123708954501,7.366731433144836,90.7448189405566,0.06865019708021525,14.95737189045159,46.29633103810559,0.025476743268170808
3.3136894220306504e+18,66.66765704827857,0.07035347824040733,16.74677694365919,0.028036291159959842,107.63527635547425,0.17408297927297708,-31.431384198096012,0.0808863956390947,38.40163032748493,0.15381544872435746,21.76521527198605,0.06892683877779783,7.9409018,8.296081,7.4665740000000005,45.94487063434182,3.924781025175106e-05,96.5663449247992,8.015836888632519,85.19268088609289,0.11213065873670605,24.41966761045906,45.5083001002467,0.027106422444292778
3.2507963604893245e+18,54.4755570745637,0.05374790232771883,-2.5149632381460942,0.02736956402723193,117.49739705093863,0.09412706855511392,23.804768669712228,0.07708825992794316,36.2526166007209,0.7903596269869106,21.79327522471288,0.06056269530199158,11.909751,13.030546000000001,10.872886,45.88571427143874,3.705144300751778e-05,87.11372292204666,4.097472503440635,82.93715727895652,0.11988454998524387,26.074684097307017,44.655809937489884,0.027826519602441004
3.406103958460673e+18,72.60014567835611,0.3324441800485273,17.202513657214478,0.27634484527970565,98.28871606830873,0.6466509531580048,-29.541091093802013,0.4748623514199801,49.62690673757261,2.5569139849706404,21.805723267598697,0.3977530031863936,6.9477673,7.266822299999999,6.5184809999999995,45.85951989429804,5.0720435627535024e-05,99.90256680844188,8.996655020047251,96.57995552183306,0.10263209911800947,22.309562670742675,54.41090386034333,0.16923452699228983
1.490052703372018e+17,63.63520669480864,0.048247058325791715,23.57473657707079,0.02506666714928629,119.94955604982604,0.10065806538795104,-48.151222042294776,0.07563551246162087,37.468039342141275,0.15153428320018586,21.828243043191804,0.05083433715302076,7.882526400000001,8.232728,7.4113297000000005,45.81220751579905,3.829364758904536e-05,96.95452781976032,10.199397120877796,84.10585510484441,0.12925337976516024,28.06735378906034,46.814851498904986,0.013778333141322544
4.701934774928922e+16,61.41589317155971,0.04257223768143361,17.937593851595217,0.017411382775229026,128.30136963813922,0.09951507344934156,-27.37494454449491,0.04274050753553366,36.57164218928388,0.21398315015646288,21.830825405399885,0.04094078409394554,9.030198,9.498501,8.443756,45.80678840263404,3.737749832492475e-05,97.05516251548727,10.33344258923552,83.1842867275588,0.13118928706200292,28.484365988291106,46.35562660752116,0.013288812351967555
3.312564037520034e+18,67.96910450542353,0.03943490678321448,15.49937684978068,0.018768405822308286,105.2403849724832,0.08302266224501313,-24.294895308771764,0.049751752869088325,40.44317894778472,0.2902023768526515,21.83669223516287,0.037787816730071234,10.49827,11.25919,9.680014,45.79448156482851,4.133434439589916e-05,97.20254477555775,8.750794819566302,87.12882596072768,0.1080082430521886,23.44490028773607,46.74734295020867,0.02031812144393659
3.3142130257870546e+18,67.38218032682572,0.044448179264738964,17.893041427408473,0.020904975048083755,107.7119022712368,0.09312620199446477,-33.028502342706744,0.05856973647938234,39.48329890802687,0.1136502427680242,21.839417780702387,0.05087184658369588,8.731016,9.164063,8.1725645,45.78876644246505,4.035331339946524e-05,97.30215317994706,8.718457443323267,86.14207984193028,0.11266204266695438,24.4520292438029,46.441712143291916,0.01751121309317428
1.456647779175365e+17,66.0314614524125,0.051362708743807904,22.118678779735564,0.026088869002807723,110.454661422277,0.11074167187840524,-44.00152012149721,0.07640030259216146,38.24891969338013,0.3956843962706805,21.84503953567852,0.05795664944889314,10.49918,11.262421,9.678581,45.7769828416536,3.909173463882376e-05,96.71331184748945,9.896034301541896,84.86871748047736,0.11889645075826431,25.7984965270363,46.13612771750731,0.016863314581879976
3.4068232452239427e+18,72.26507909102136,0.04002786176384676,18.641078943037208,0.02725130144666152,89.2011666853432,0.08071698285103164,-39.093456543801544,0.047033782276766266,41.62523817278003,0.13193358901719932,21.866688144990917,0.042076701802056686,8.747406,9.189217999999999,8.18523,45.731662397585055,4.254245029591724e-05,97.04318094806113,7.781785458647889,88.2741126935023,0.09739171670408363,21.111415414917566,46.672822003408825,0.015457400102466292
3.310201908586061e+18,64.90438600612691,0.04819791397777826,12.624246205443615,0.02871730187899693,168.63862126646708,0.10971962797026837,-18.206824900792455,0.07665792222967895,36.81197452456003,0.2852500841544695,21.86716062626915,0.0529935149684042,9.530092999999999,10.044105,8.897821,45.73067427870329,3.762312638320871e-05,111.74844746903443,7.566794844112378,83.353800661912,0.1696186105815722,36.767106068211326,52.02827651410297,0.0251173351396834
4.775248148585114e+16,65.10512460159636,0.04939956383999385,18.742494527369594,0.02456306928385009,117.17190211612792,0.10440072271913718,-42.95226556669553,0.07512474911351424,37.27265571288115,0.8626941396288726,21.87807423411545,0.0514609304399651,5.9997025,6.211997,5.697445,45.70786209513156,3.809395868151449e-05,97.65287518940967,6.811309647731946,83.80182077664605,0.12479644130672718,27.037806228460454,46.046648407226634,0.01572884407641999
